pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
6.683,36.429,1.023,0.021,1.01,-0.019,254.201,high
6.734,36.825,0.034,0.99,-0.024,0.978,253.512,high
8.374,70.045,0.961,0.888,0.947,1.124,246.375,low
9.238,33.659,0.974,1.037,0.052,0.926,254.641,low
6.494,36.13,-0.043,-0.08,0.034,-0.007,255.361,medium
6.549,38.014,0.998,1.153,0.941,1.064,254.732,high
5.635,46.205,1.056,0.076,0.98,1.023,250.416,low
4.334,59.445,0.009,1.069,1.056,1.055,249.902,low
7.998,65.32,1.029,0.123,1.019,1.008,255.803,low
6.743,44.221,1.05,1.03,-0.139,0.027,246.509,medium
6.692,45.896,0.983,1.025,1.051,-0.042,245.248,medium
5.634,50.2,0.056,1.029,1.068,1.046,255.327,low
8.484,54.104,-0.036,0.951,0.928,1.059,254.997,low
7.395,89.113,0.953,0.01,0.98,0.981,255.085,low
6.874,44.325,-0.013,0.999,0.932,0.944,254.732,high
6.479,38.759,1.075,0.03,0.001,0.001,256.295,medium
4.772,37.661,1.087,0.05,1.033,0.098,255.144,low
3.019,39.645,1.01,0.927,1.057,1.059,255.031,low
9.088,42.731,0.976,-0.023,1.004,1.061,249.528,low
6.859,39.04,0.951,-0.001,1.054,-0.039,244.726,medium
6.451,46.738,-0.06,1.085,1.057,1.038,250.152,high
6.753,37.648,-0.071,-0.014,0.959,-0.014,255.233,medium
4.538,38.318,0.037,1.017,0.991,1.009,254.652,low
6.491,44.942,0.95,1.079,0.979,0.998,245.873,high
6.828,35.389,0.996,0.057,1.088,0.041,246.407,medium
6.5,35.272,0.033,1.086,0.958,-0.002,253.241,high
8.428,71.559,0.032,0.026,0.011,-0.011,246.719,low
6.641,34.334,-0.015,0.016,-0.082,0.979,240.453,medium
6.626,35.825,-0.06,0.068,0.018,0.058,246.451,medium
6.8,36.984,1.044,-0.024,1.06,0.043,255.016,high
6.6,44.156,-0.003,0.97,-0.064,0.043,240.11,medium
6.397,39.578,-0.052,0.9,0.077,1.029,249.838,low
6.702,42.217,0.965,0.997,0.997,1.006,254.706,high
6.797,42.293,1.053,-0.029,0.008,0.014,247.012,medium
6.64,50.927,0.957,1.003,1.054,0.001,245.15,low
8.536,54.508,0.023,1.006,0.006,0.054,254.912,low
7.702,64.191,-0.113,0.012,0.064,0.048,254.188,low
6.768,41.939,0.002,0.076,-0.045,-0.038,254.706,medium
6.483,36.811,0.957,0.976,1.073,1.014,254.567,high
6.743,38.462,-0.047,-0.041,0.041,-0.029,255.681,medium
2.964,38.339,1.06,0.009,-0.042,-0.025,254.601,low
8.933,43.144,1.039,0.953,0.98,0.985,248.431,low
6.742,39.013,0.978,0.946,0.874,1.007,255.041,high
6.662,44.476,0.015,0.02,-0.021,1.023,250.087,medium
6.624,35.776,-0.076,-0.048,-0.01,-0.07,246.954,medium
6.713,38.489,-0.046,0.049,-0.021,0.051,255.719,medium
6.831,44.996,1.032,1.027,1.016,-0.046,245.331,high
6.697,36.015,0.023,0.035,-0.082,-0.032,254.749,medium
6.815,44.34,-0.06,0.07,1.017,0.044,254.719,medium
6.55,39.679,0.965,-0.016,1.041,0.021,255.467,medium
6.75,38.125,0.941,0.046,1.044,-0.062,255.299,high
6.668,47.137,0.025,0.001,-0.053,1.031,255.039,medium
6.756,45.003,0.995,1.025,0.924,1.026,245.209,high
6.489,34.044,0.975,-0.052,0.989,0.067,246.648,medium
6.881,36.765,-0.128,1.029,0.976,-0.041,252.618,high
6.763,34.36,-0.006,-0.03,0.017,1.063,240.213,medium
6.716,43.708,0.124,1.162,-0.001,-0.002,240.461,medium
6.881,41.697,0.035,-0.056,1.032,0.093,255.547,medium
6.507,50.09,0.049,0.003,-0.036,1.088,250.776,low
6.48,50.75,0.069,0.012,-0.006,0.008,254.806,low
6.436,34.99,0.039,1.008,1.03,1.027,255.274,high
6.891,51.19,-0.069,0.028,0.968,0.064,253.486,low
6.519,43.248,0.993,0.013,1.035,1.07,250.156,high
