pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
6.8,34,1,0,1,0,252,high
6.7,39,1,0,1,0,250,low
7,51,1,1,0,1,241,medium
6.5,43,1,0,1,1,254,medium
7.4,83,0,1,0,1,241,low
6.8,34,1,0,1,0,255,medium
7.2,39,0,0,1,0,255,high
6.7,43,1,0,1,1,240,low
9.5,47,0,0,0,0,240,medium
6.8,34,1,1,0,1,244,low
6.5,49,0,0,1,0,253,high
7.2,47,0,0,0,0,247,low
6.4,36,1,0,0,0,247,medium
7.1,34,1,1,1,1,245,medium
7.2,37,0,0,1,0,240,medium
6.9,45,1,0,1,0,240,medium
6.8,61,1,1,1,0,255,low
7.1,37,0,1,1,0,255,medium
6.8,37,0,1,1,0,240,medium
6.8,35,0,0,1,1,244,medium
6.8,41,0,1,1,0,255,medium
4.9,35,0,0,1,1,240,medium
6.9,38,0,1,0,0,252,medium
6.9,41,1,0,1,1,240,high
6.8,40,0,1,1,0,247,low
7,36,0,1,1,1,252,low
8,34,0,0,0,0,244,high
7.2,34,0,0,0,1,255,high
6.9,38,1,1,1,0,242,medium
6.8,38,0,1,0,0,252,medium
6.6,34,1,0,1,0,244,high
7.1,34,0,1,1,1,240,medium
6.6,49,1,1,1,1,253,medium
5.1,39,0,0,1,1,254,medium
8.5,34,0,0,0,1,251,medium
7.2,38,0,0,0,1,240,low
6.7,34,0,0,1,0,254,medium
6.4,43,0,0,1,0,255,low
6.6,47,1,0,0,1,245,medium
6.5,34,1,0,0,0,246,low
6.8,61,0,1,1,0,247,medium
6.9,34,0,0,0,0,249,medium
6.9,55,1,0,0,1,252,high
9.5,44,0,0,1,1,255,low
7,37,0,1,0,1,254,medium
6.5,39,0,0,1,1,240,medium
6.3,42,0,0,1,0,240,low
8.4,45,0,1,1,0,244,medium
9.2,40,0,1,1,1,252,low
8.9,45,0,0,0,1,243,medium
7.7,40,0,1,1,1,240,high
7,43,0,0,1,0,255,low
6.5,34,0,1,1,1,240,medium
7,52,1,0,1,0,240,medium
6.2,40,1,0,1,0,252,medium
6.8,40,0,0,1,1,242,medium
7,34,0,0,1,0,246,low
7,42,1,0,1,0,254,medium
6.4,42,1,1,0,1,240,low
7.2,41,1,0,0,0,244,medium
7.2,42,1,0,1,0,240,medium
6.8,36,1,1,0,1,240,high
6.6,44,1,0,0,1,246,medium
7,44,0,1,1,0,254,medium
7.1,39,1,0,0,0,243,high
6.7,35,1,0,0,0,252,low
8.5,34,0,0,1,1,255,medium
7.6,34,0,0,1,1,240,medium
7.2,34,0,0,1,1,255,medium
6.9,34,1,1,0,0,252,high
6.9,34,1,0,1,0,243,high
6.6,35,0,1,0,1,255,medium
7,52,1,0,1,0,252,high
7.1,52,1,1,0,1,245,low
6.8,35,1,0,1,0,240,low
6.6,36,0,1,1,0,240,low
6.1,34,0,1,1,0,251,low
6.8,46,1,1,0,1,243,high
7.1,37,1,0,1,0,253,medium
6.7,39,0,0,1,1,240,medium
6.5,50,1,0,1,0,253,medium
7.2,49,0,0,0,1,242,medium
7,43,1,1,0,0,253,high
6.9,44,0,1,0,0,245,high
6.9,34,1,0,1,1,248,high
6.4,49,1,1,1,1,253,high
7,48,1,1,1,1,240,medium
7,34,0,1,1,0,255,high
7,39,0,1,1,0,252,high
7,47,0,1,0,0,241,high
6.9,46,1,0,1,0,240,high
7.1,38,1,0,1,0,250,medium
6.8,34,0,1,0,1,240,medium
6.4,66,0,0,1,1,254,low
6.6,34,0,1,0,0,240,medium
6.6,44,0,0,0,1,246,medium
7.2,45,0,1,1,0,240,high
6.7,46,1,1,0,0,242,medium
7,34,0,1,0,0,240,high
6.7,45,0,0,1,1,255,medium
6.6,43,0,0,1,0,240,high
6.3,35,1,0,0,1,241,medium
6.8,52,1,0,0,0,252,medium
6.8,36,1,0,1,0,241,medium
7.2,39,0,0,1,1,252,low
7.1,53,1,0,0,0,240,high
7,41,1,0,0,1,240,high
6.7,40,1,1,0,0,250,low
6.8,34,1,0,1,0,249,medium
6.8,85,1,1,1,0,245,high
6.3,36,1,0,1,1,251,high
6.8,42,0,1,1,0,240,medium
6.9,34,0,0,0,0,243,low
6.6,41,0,1,1,0,248,low
7.1,35,0,0,1,0,254,medium
6.9,37,1,0,1,0,254,medium
8.9,34,0,1,1,1,242,high
6.8,38,1,1,1,0,253,medium
6.7,36,0,0,1,0,240,low
7.1,43,0,1,1,0,240,low
6.9,34,0,0,0,0,240,high
9.5,34,0,0,0,0,240,high
6.9,37,0,1,0,1,248,medium
6.6,52,1,0,1,0,242,low
8.2,44,0,0,1,1,240,low
6.8,48,1,0,1,0,242,low
6.9,35,0,1,0,0,255,medium
9.5,40,0,0,0,0,241,medium
8.7,34,1,0,0,0,255,high
6.5,34,1,0,1,0,250,medium
7.1,35,1,0,1,0,255,low
6.6,34,0,0,0,0,253,medium
7,50,0,0,0,0,252,high
7.1,34,0,1,0,1,240,high
6.8,41,1,0,1,0,252,medium
7,34,1,0,0,0,240,medium
6.6,38,0,0,1,0,242,medium
7,36,0,1,1,1,243,high
6.8,34,1,0,0,1,240,low
5.3,47,0,1,0,1,247,high
6.5,43,1,0,0,1,255,medium
6.5,50,0,0,0,0,243,medium
6.7,36,0,0,1,0,246,medium
7.1,40,0,0,1,1,240,high
7.2,36,0,0,1,0,242,medium
6.9,34,0,1,1,0,252,medium
6.6,42,1,1,0,1,241,high
6.9,34,0,0,1,1,240,high
7,49,0,0,0,0,252,high
6.7,34,0,0,1,1,254,medium
7.9,38,0,0,1,0,240,low
6.8,43,1,1,1,1,249,medium
7.1,41,0,1,1,0,240,medium
7,34,0,1,1,1,240,low
7.1,45,0,0,1,0,246,low
7,51,0,0,0,0,253,medium
6.6,34,1,1,0,1,240,low
6.9,35,1,1,0,1,244,high
6.8,34,0,1,1,1,240,medium
7.2,34,1,0,1,0,240,high
6.5,39,1,1,1,0,246,low
6.9,34,0,1,1,0,242,high
8.7,39,1,1,0,1,240,medium
7,55,1,0,1,0,240,medium
7.6,44,0,1,1,0,240,low
6.9,34,0,0,1,0,240,high
7.2,39,1,1,1,0,246,low
6.9,34,1,0,0,1,249,medium
6.8,34,0,0,0,1,240,medium
6.9,34,1,1,0,1,252,high
7,38,1,0,1,1,248,medium
7,34,0,1,1,1,253,high
5.4,34,0,1,1,0,255,medium
6.9,45,0,0,1,0,254,medium
6.9,34,1,0,0,1,241,low
7.1,34,1,0,1,0,253,medium
7,53,1,0,0,0,245,medium
6.7,35,1,1,0,1,253,high
9.5,34,0,1,1,1,253,medium
6.6,43,0,1,0,0,248,medium
7.1,34,0,0,1,0,249,high
6.5,38,1,0,0,0,243,high
6.4,37,0,0,0,1,252,medium
6.8,34,1,0,0,1,254,high
6.9,43,1,0,1,0,240,medium
6.8,43,1,1,1,0,253,high
6.4,46,0,1,0,0,253,high
6.9,48,0,1,1,0,252,low
7.4,34,0,0,1,1,254,medium
8.1,42,0,0,1,0,240,medium
6.5,34,1,1,1,0,243,low
6.2,40,1,0,1,0,240,medium
6.5,37,0,1,1,1,241,high
6.6,36,1,1,1,0,254,low
6.9,36,1,1,0,0,242,low
7,38,0,0,1,1,244,high
6.5,36,0,0,1,0,241,medium
6.7,34,0,0,1,1,252,medium
7.1,38,1,1,0,1,252,medium
8,41,1,0,1,0,240,medium
6.7,46,0,0,1,0,249,low
6.8,34,1,1,1,1,253,medium
6.5,49,0,1,1,1,240,medium
6.8,34,1,1,1,0,240,high
9.5,34,1,0,0,1,253,low
6.7,42,1,0,0,0,240,medium
6.4,43,0,1,0,0,254,medium
6.6,44,0,0,0,1,254,low
7.1,34,1,1,1,0,240,medium
7.1,48,1,1,0,1,253,low
7,34,0,0,0,0,251,medium
9.5,37,0,1,1,1,252,low
7.9,50,1,1,0,0,252,high
7.1,42,1,0,0,1,252,medium
6.7,49,1,1,0,0,243,high
6.9,34,1,0,1,1,250,medium
7,47,0,1,1,1,241,low
7.1,34,1,0,0,1,255,high
6.9,34,0,1,1,1,255,high
6.6,45,0,0,1,0,254,medium
6.9,36,0,0,1,0,241,high
7.1,66,1,0,1,0,245,high
6.8,42,0,1,1,0,253,low
7,38,0,0,0,0,252,high
6.6,39,0,1,0,1,244,high
7.1,34,0,1,1,0,240,medium
9.5,34,1,0,1,1,255,high
6.9,72,0,1,1,1,244,high
7.1,34,0,1,0,1,240,medium
6.9,34,0,0,0,0,251,medium
7,35,1,0,1,0,240,medium
6.8,34,0,1,0,0,248,high
6.6,46,1,1,1,0,243,medium
6.9,48,0,0,0,0,240,low
6.4,34,0,0,0,0,240,medium
7,38,0,0,1,0,240,low
6.8,45,1,0,0,0,255,medium
8.8,34,0,1,0,1,240,high
6.9,38,0,1,1,0,241,low
7,40,0,1,1,1,241,low
7.2,39,1,0,0,1,255,high
9.5,35,0,0,0,1,253,high
6.5,44,1,0,0,1,240,medium
6.6,34,0,0,0,1,255,high
7,34,0,0,1,0,252,medium
6.5,36,1,0,0,0,255,medium
6.8,67,1,0,1,0,244,high
7,40,1,1,1,0,251,medium
7.1,39,0,0,1,1,255,medium
6.8,34,0,1,1,0,240,high
6.6,34,1,0,0,1,240,medium
6.9,39,1,0,0,1,250,medium
6.5,34,0,0,1,0,244,medium
6.2,34,1,0,0,0,240,medium
6.9,43,0,1,0,1,240,high
6.3,37,0,1,1,0,245,high
6.6,34,1,1,1,0,240,medium
6.8,41,0,0,1,1,243,medium
7.1,46,0,0,0,1,254,high
6.6,34,1,1,0,0,252,medium
8.9,54,0,0,1,0,252,high
6.8,44,0,0,0,1,247,high
7.1,38,0,0,1,1,243,medium
7,39,0,0,1,1,240,medium
6.8,34,0,0,1,0,241,medium
9.5,34,0,1,1,1,252,high
9.5,49,1,1,0,0,240,medium
6.9,40,0,1,1,0,251,high
7,37,0,1,1,1,240,medium
6.9,34,1,0,1,1,252,medium
4.1,38,1,1,1,0,250,high
7,34,0,0,0,1,253,medium
6.6,34,1,0,1,0,243,low
6.6,34,0,1,1,0,254,low
5.5,37,0,1,1,0,247,low
6.9,36,0,0,0,0,245,medium
6.8,38,1,1,0,1,244,high
6.6,39,0,0,1,0,254,high
7.1,34,0,0,0,0,245,high
