iter	Passed	Remaining
0	58	11681
1	59	5892
2	60	3960
3	61	2993
4	61	2408
5	62	2018
6	63	1738
7	63	1531
8	64	1367
9	65	1236
10	65	1129
11	66	1043
12	67	966
13	67	901
14	68	844
15	69	795
16	69	751
17	70	713
18	71	678
19	71	647
20	72	618
21	73	592
22	73	568
23	74	546
24	75	526
25	75	507
26	76	490
27	77	474
28	77	459
29	78	445
30	79	432
31	80	421
32	81	411
33	82	400
34	82	390
35	83	381
36	84	372
37	85	363
38	86	355
39	86	347
40	87	339
41	88	331
42	88	324
43	89	317
44	90	311
45	91	305
46	91	298
47	92	292
48	93	286
49	93	281
50	94	275
51	95	270
52	95	265
53	96	260
54	97	255
55	97	251
56	98	246
57	99	242
58	99	238
59	100	234
60	101	230
61	101	226
62	102	222
63	103	219
64	103	215
65	104	212
66	105	208
67	105	205
68	106	202
69	107	199
70	107	196
71	108	193
72	109	190
73	109	187
74	110	184
75	111	181
76	111	178
77	112	176
78	113	173
79	113	170
80	114	168
81	115	166
82	116	163
83	116	161
84	117	158
85	117	156
86	118	154
87	119	151
88	119	149
89	120	147
90	121	144
91	121	142
92	122	140
93	122	138
94	123	136
95	123	134
96	124	132
97	125	130
98	125	128
99	126	126
100	126	124
101	127	122
102	128	120
103	128	118
104	129	117
105	130	115
106	130	113
107	131	111
108	131	110
109	132	108
110	133	106
111	133	105
112	134	103
113	135	101
114	135	100
115	136	98
116	136	97
117	137	95
118	138	94
119	138	92
120	139	91
121	140	89
122	140	88
123	141	86
124	142	85
125	142	83
126	143	82
127	143	80
128	144	79
129	144	78
130	145	76
131	146	75
132	146	73
133	147	72
134	148	71
135	149	70
136	149	68
137	150	67
138	150	66
139	151	64
140	152	63
141	152	62
142	153	61
143	153	59
144	154	58
145	155	57
146	155	56
147	156	54
148	157	53
149	157	52
150	158	51
151	159	50
152	159	49
153	160	47
154	161	46
155	162	45
156	162	44
157	163	43
158	164	42
159	164	41
160	165	40
161	166	38
162	166	37
163	167	36
164	168	35
165	168	34
166	169	33
167	170	32
168	171	31
169	171	30
170	173	29
171	173	28
172	174	27
173	175	26
174	176	25
175	176	24
176	177	23
177	178	22
178	178	20
179	179	19
180	180	18
181	180	17
182	182	16
183	182	15
184	183	14
185	184	13
186	184	12
187	185	11
188	186	10
189	187	9
190	187	8
191	188	7
192	189	6
193	190	5
194	191	4
195	191	3
196	192	2
197	193	1
198	194	0
199	195	0
